,name_en,name_fa,city_id,price_class
512,rion_restaurant,ریون,16,2
513,mahed,ماهد,16,2
514,bluma,بلوما,16,2
515,dam_cafe,دم,16,2
516,cafeviunasohrevardi,ویونا (سهروردی),16,2
517,dibacheh_mansion,عمارت دیباچه,16,2
518,morralounge,مورالانژ,16,2
519,mann_book_cafe,کتاب من,16,2
520,zi_cafee,زی (ارتش),16,2
521,hug_cafe_house,هاگ,16,2
522,theyard,یارد,16,2
523,cafeneshin1,نشین,16,2
524,carshow,کارشو,16,2
525,avana_cafe,آوانا,16,2
526,roomeroon,روم رون,16,2
527,zahira_lounge,زهیرا لانژ,16,2
528,ruby,روبی,16,2
529,trend,ترند,16,3
530,impresso,ایمپرسو,16,2
531,nicki_lounge,نیکی لانژ,16,2
532,injacafe,اینجا,16,2
533,abtin_icecream,آبتین,16,2
534,hoomaan,هومان,16,2
535,scoffee,اِس,16,2
536,jaryan,جریان,16,2
537,bavan,باوان,16,2
538,lotus_fruitjuice,لوتوس,16,2
539,cafe08,صفر هشت,16,2
540,link_andarzgo,لینک (اندرزگو),16,2
541,elva_seyedkhandan,الوا,16,2
542,telma_valiasr,تلما (ولیعصر),16,2
543,roostar_bakery,بیکری روستار,16,2
544,cityteras,سیتی تراس,16,2
545,jeunviecafe,ژانوی,16,2
546,ctplus,سی تی پلاس,16,2
547,saadabad,سعدآباد,16,2
548,kaya1,کایا,16,3
549,aknoon_evin,اکنون,16,2
550,carvel_andarzgoo,کارول (اندرزگو),16,2
551,zhabiz_lounge,ژابیز لانژ,16,3
552,hamneshinn,همنشین,16,2
553,mahur_shahrakgharb1,ماهور (شهرک غرب),16,2
554,hub,هاب,16,2
555,klendygelato,کلندی جلاتو,16,2
556,cafe_comma,کاما,16,2
557,delvazcafe,دلواز,16,2
558,saddleroom,سدل روم,16,2
559,viggocoffee,ویگو,16,2
560,vitamine_babataher,بابا طاهر,16,2
561,groke_cafe,گروک,16,2
562,lozan,لوزان,16,2
563,container2,کانتینر (سعادت آباد),16,2
564,sizdah50,سیزده 50,16,2
565,risotto_zaferanih,ریزوتو (زعفرانیه),16,2
566,emaratpelak85,عمارت پلاک 85,16,2
