,id,Name,Perfect,Good,Ok,Bad,Very Bad
1115,1150,roja,0,2,0,0,0
1116,1151,gooshe,3,1,2,0,0
1117,1152,rang,6,1,1,1,3
1118,1153,milieu,3,0,0,0,0
1119,1154,barn,10,15,2,1,3
1120,1155,reera,12,15,7,3,0
1121,1156,bofe-ketab,5,6,5,2,2
1122,1157,hotchocolateniloofar,3,6,1,0,0
1123,1158,karzin-vanak,1,1,0,0,0
1124,1159,coco,0,0,0,0,0
1125,1160,delo,6,1,1,1,1
1126,1161,vcafefelestin,41,26,15,9,9
1127,1162,dorsa,31,18,7,3,1
1128,1163,vionaplus,23,25,5,2,5
1129,1164,beniceandarzgo,1,0,0,0,0
1130,1165,jelatolab,18,12,4,3,3
1131,1166,naser,22,28,8,1,0
1132,1167,belin,7,8,3,1,0
1133,1168,melody,2,0,0,0,0
1134,1169,nescocafe,8,5,1,1,0
1135,1170,robertocafe,48,29,11,3,2
1136,1171,gozar,8,3,1,0,3
1137,1172,dodo,0,1,2,0,0
1138,1174,sepanj,28,18,5,4,7
1139,1175,lamiz-enghelab,10,14,2,4,1
1140,1176,lamiz-mirdamad,13,11,6,1,0
1141,1177,lamiz-tajrish,19,12,8,0,1
1142,1178,shano,1,4,2,0,0
1143,1179,samcoffee2,17,20,11,8,4
1144,1180,sousheh,0,0,0,0,0
1145,1181,un,6,5,3,1,1
1146,1182,hookagi,8,10,9,2,4
1147,1183,cafeeskan,2,3,1,0,0
1148,1184,nando,1,1,0,0,0
1149,1185,sadafmirdamad,5,0,0,0,0
1150,1186,panjere,8,4,6,1,0
1151,1187,khas,2,3,1,0,1
1152,1188,samcofe,15,17,10,3,4
1153,1189,cofenaderi,19,24,18,9,10
1154,1190,kincoofe,3,1,0,1,2
1155,1191,liv-liv,12,15,17,3,0
1156,1192,nazdikcoofe,19,20,5,5,1
1157,1193,anso,51,38,9,1,2
1158,1194,part,1,3,3,1,2
1159,1195,ascoffe,2,3,0,0,1
1160,1196,raya,19,10,5,0,2
1161,1197,kajeh,3,0,0,1,1
1162,1198,oriant,44,13,3,2,2
1163,1199,emarat-res,6,6,1,1,3
1164,1200,viuna-milad,6,6,3,0,4
1165,1201,lavender,9,0,2,2,1
1166,1202,andora,30,18,6,2,4
1167,1203,leoncaffee,10,16,5,3,7
1168,1204,viunanoor,13,10,4,2,3
1169,1205,langin-shahrakgharb,22,25,25,12,10
1170,1206,langingandi,16,20,12,3,4
1171,1207,cafe-sadaf,2,1,0,1,0
1172,1208,lido,9,3,3,2,2
1173,1209,vorta,34,15,19,6,5
1174,1210,paradizu,30,21,7,3,3
1175,1211,doris,0,0,0,0,1
1176,1212,shandizsoor,6,1,6,2,5
