,food_rate,servic_rate,worth,design_rate
904,4.0,4.0,5.0,4.0
905,3.0,3.0,3.0,3.0
906,3.0,2.0,3.0,3.0
907,1.0,1.0,2.0,1.0
908,,,,
909,3.0,2.0,4.0,2.0
910,3.0,3.0,4.0,4.0
911,5.0,5.0,5.0,5.0
912,3.0,2.0,3.0,1.0
913,,,,
914,4.0,4.0,5.0,4.0
915,3.0,2.0,4.0,4.0
916,3.0,3.0,3.0,3.0
917,2.0,2.0,1.0,3.0
918,1.0,2.0,4.0,1.0
919,4.0,4.0,4.0,4.0
920,3.0,3.0,3.0,3.0
921,4.0,4.0,5.0,3.0
922,4.0,4.0,4.0,4.0
923,4.0,4.0,4.0,3.0
924,4.0,3.0,4.0,3.0
925,5.0,5.0,4.0,5.0
926,5.0,4.0,5.0,4.0
927,4.0,4.0,3.0,4.0
928,0.0,0.0,0.0,0.0
929,5.0,5.0,5.0,5.0
930,4.0,4.0,4.0,3.0
931,3.0,1.0,1.0,3.0
932,5.0,4.0,4.0,4.0
933,0.0,0.0,0.0,0.0
934,5.0,5.0,5.0,5.0
935,4.0,4.0,5.0,4.0
936,4.0,3.0,3.0,3.0
937,4.0,4.0,4.0,4.0
938,5.0,4.0,3.0,5.0
939,5.0,4.0,3.0,4.0
940,4.0,4.0,4.0,4.0
941,4.0,4.0,4.0,4.0
942,4.0,5.0,5.0,4.0
943,5.0,5.0,5.0,4.0
944,4.0,4.0,4.0,4.0
945,2.0,2.0,2.0,2.0
946,4.0,4.0,4.0,4.0
947,4.0,4.0,4.0,4.0
948,4.0,4.0,4.0,4.0
949,4.0,4.0,4.0,4.0
950,3.0,4.0,3.0,4.0
951,1.0,1.0,1.0,1.0
952,3.0,4.0,4.0,3.0
953,3.0,3.0,3.0,3.0
954,4.0,4.0,4.0,3.0
955,3.0,4.0,4.0,2.0
956,4.0,4.0,4.0,4.0
957,4.0,4.0,5.0,3.0
958,4.0,5.0,4.0,5.0
959,2.0,2.0,2.0,2.0
960,4.0,4.0,4.0,4.0
961,4.0,4.0,4.0,3.0
962,3.0,3.0,3.0,3.0
963,5.0,5.0,5.0,5.0
964,4.0,4.0,3.0,4.0
965,3.0,3.0,3.0,4.0
966,4.0,4.0,4.0,4.0
967,4.0,3.0,4.0,3.0
968,4.0,4.0,4.0,4.0
969,4.0,5.0,4.0,4.0
970,4.0,3.0,4.0,3.0
971,5.0,5.0,5.0,4.0
972,4.0,4.0,4.0,4.0
973,4.0,3.0,4.0,3.0
974,4.0,4.0,5.0,4.0
975,4.0,4.0,4.0,4.0
976,4.0,4.0,4.0,4.0
977,2.0,2.0,3.0,2.0
978,3.0,3.0,4.0,3.0
979,4.0,4.0,4.0,4.0
980,4.0,4.0,4.0,4.0
981,0.0,0.0,0.0,0.0
982,4.0,4.0,4.0,4.0
983,4.0,4.0,4.0,3.0
984,5.0,4.0,4.0,3.0
985,4.0,4.0,4.0,4.0
986,4.0,3.0,4.0,4.0
987,5.0,5.0,5.0,5.0
988,5.0,5.0,3.0,5.0
989,3.0,2.0,2.0,2.0
990,2.0,2.0,4.0,2.0
991,3.0,3.0,4.0,3.0
992,3.0,4.0,4.0,3.0
